Software,cluster_id_v1,cluster_label_v1,is_noise_like_v1,clustering_method_v1,normalized_name_v2,cluster_id_v2,cluster_label_v2,cluster_size_v2,is_noise_like_v2,clustering_method_v2,cluster_confidence_v2,review_recommended_v2,normalized_name_v3,cluster_id_v3,cluster_label_v3,cluster_size_v3,is_noise_like_v3,clustering_method_v3,cluster_confidence_v3,review_recommended_v3
7-Zip 22.00 (x64),C0007,7 Zip,false,exact_normalized,7 zip,C0007,7 Zip,25,false,v1_exact_preserved,1.00,false,7 zip,C0007,7 Zip,25,false,v2_preserved,1.00,false
7-Zip 22.01,C0007,7 Zip,false,exact_normalized,7 zip,C0007,7 Zip,25,false,v1_exact_preserved,1.00,false,7 zip,C0007,7 Zip,25,false,v2_preserved,1.00,false
7-Zip 22.01 (x64),C0007,7 Zip,false,exact_normalized,7 zip,C0007,7 Zip,25,false,v1_exact_preserved,1.00,false,7 zip,C0007,7 Zip,25,false,v2_preserved,1.00,false
7-Zip 23.00 (x64 edition),C0007,7 Zip,false,exact_normalized,7 zip,C0007,7 Zip,25,false,v1_exact_preserved,1.00,false,7 zip,C0007,7 Zip,25,false,v2_preserved,1.00,false
7-Zip 23.01 (x64),C0007,7 Zip,false,exact_normalized,7 zip,C0007,7 Zip,25,false,v1_exact_preserved,1.00,false,7 zip,C0007,7 Zip,25,false,v2_preserved,1.00,false
7-Zip 24.05 (x64),C0007,7 Zip,false,exact_normalized,7 zip,C0007,7 Zip,25,false,v1_exact_preserved,1.00,false,7 zip,C0007,7 Zip,25,false,v2_preserved,1.00,false
7-Zip 24.06 (x64),C0007,7 Zip,false,exact_normalized,7 zip,C0007,7 Zip,25,false,v1_exact_preserved,1.00,false,7 zip,C0007,7 Zip,25,false,v2_preserved,1.00,false
7-Zip 24.07 (x64),C0007,7 Zip,false,exact_normalized,7 zip,C0007,7 Zip,25,false,v1_exact_preserved,1.00,false,7 zip,C0007,7 Zip,25,false,v2_preserved,1.00,false
7-Zip 24.08 (x64),C0007,7 Zip,false,exact_normalized,7 zip,C0007,7 Zip,25,false,v1_exact_preserved,1.00,false,7 zip,C0007,7 Zip,25,false,v2_preserved,1.00,false
7-Zip 24.09 (x64),C0007,7 Zip,false,exact_normalized,7 zip,C0007,7 Zip,25,false,v1_exact_preserved,1.00,false,7 zip,C0007,7 Zip,25,false,v2_preserved,1.00,false
7-Zip 9.32 (x64 edition),C0007,7 Zip,false,exact_normalized,7 zip,C0007,7 Zip,25,false,v1_exact_preserved,1.00,false,7 zip,C0007,7 Zip,25,false,v2_preserved,1.00,false
7-Zip 9.32 alpha,C0007,7 Zip,false,exact_normalized,7 zip,C0007,7 Zip,25,false,v1_exact_preserved,1.00,false,7 zip,C0007,7 Zip,25,false,v2_preserved,1.00,false
Access Client,N0004,Access Client,true,singleton_noise_like,access client,N0002,Access Client,1,true,singleton_noise_like,0.00,true,access client,N0002,Access Client,1,true,singleton_noise_like,0.00,true
Active Directory Authentication Library for SQL Server,N0005,Active Directory Authentication Library For SQL Server,true,singleton_noise_like,active directory authentication library for sql server,N0003,Active Directory Authentication Library for SQL Server,1,true,singleton_noise_like,0.00,true,active directory authentication library for sql server,N0003,Active Directory Authentication Library for SQL Server,1,true,singleton_noise_like,0.00,true
AD LDS 实例 instance1,N0006,ad lds 实例 instance1,true,singleton_noise_like,ad lds 实例 instance1,N0004,AD LDS 实例 instance1,1,true,singleton_noise_like,0.00,true,ad lds 实例 instance1,N0004,AD LDS 实例 instance1,1,true,singleton_noise_like,0.00,true
Adobe Acrobat (64-bit),C0064,Adobe Acrobat Dc,false,conservative_fuzzy_merge,adobe acrobat,C0064,Adobe Acrobat Dc,3,false,v1_exact_preserved,1.00,false,adobe acrobat,C0064,Adobe Acrobat Dc,3,false,v2_preserved,1.00,false
Adobe Acrobat DC,C0064,Adobe Acrobat Dc,false,conservative_fuzzy_merge,adobe acrobat dc,C0064,Adobe Acrobat Dc,3,false,v1_exact_preserved,1.00,false,adobe acrobat dc,C0064,Adobe Acrobat Dc,3,false,v2_preserved,1.00,false
Adobe Acrobat DC (64-bit),C0064,Adobe Acrobat Dc,false,conservative_fuzzy_merge,adobe acrobat dc,C0064,Adobe Acrobat Dc,3,false,v1_exact_preserved,1.00,false,adobe acrobat dc,C0064,Adobe Acrobat Dc,3,false,v2_preserved,1.00,false
Adobe Acrobat Reader,C0049,Adobe Acrobat Reader,false,conservative_fuzzy_merge,adobe acrobat reader,C0049,Adobe Acrobat Reader,4,false,v1_exact_preserved,1.00,false,adobe acrobat reader,C0049,Adobe Acrobat Reader,4,false,v2_preserved,1.00,false
Adobe Acrobat Reader - Chinese Simplified,C0049,Adobe Acrobat Reader,false,conservative_fuzzy_merge,adobe acrobat reader,C0049,Adobe Acrobat Reader,4,false,v1_exact_preserved,1.00,false,adobe acrobat reader,C0049,Adobe Acrobat Reader,4,false,v2_preserved,1.00,false
Adobe Acrobat Reader DC,C0049,Adobe Acrobat Reader,false,conservative_fuzzy_merge,adobe acrobat reader dc,C0049,Adobe Acrobat Reader,4,false,v1_exact_preserved,1.00,false,adobe acrobat reader dc,C0049,Adobe Acrobat Reader,4,false,v2_preserved,1.00,false
Adobe Acrobat Reader DC - Chinese Simplified,C0049,Adobe Acrobat Reader,false,conservative_fuzzy_merge,adobe acrobat reader dc,C0049,Adobe Acrobat Reader,4,false,v1_exact_preserved,1.00,false,adobe acrobat reader dc,C0049,Adobe Acrobat Reader,4,false,v2_preserved,1.00,false
Adobe Acrobat X Pro - ChineseS,N0007,Adobe Acrobat X Pro Chineses,true,singleton_noise_like,adobe acrobat x pro chineses,N0005,Adobe Acrobat X Pro - ChineseS,1,true,singleton_noise_like,0.00,true,adobe acrobat x pro chineses,N0005,Adobe Acrobat X Pro - ChineseS,1,true,singleton_noise_like,0.00,true
Adobe After Effects 2024,C0082,Adobe After Effects,false,exact_normalized,adobe after effects,C0082,Adobe After Effects,2,false,v1_exact_preserved,1.00,false,adobe after effects,C0082,Adobe After Effects,2,false,v2_preserved,1.00,false
Adobe After Effects 2025,C0082,Adobe After Effects,false,exact_normalized,adobe after effects,C0082,Adobe After Effects,2,false,v1_exact_preserved,1.00,false,adobe after effects,C0082,Adobe After Effects,2,false,v2_preserved,1.00,false
Adobe Animate 2024,N0008,Adobe Animate,true,singleton_noise_like,adobe animate 2024,N0006,Adobe Animate 2024,1,true,singleton_noise_like,0.00,true,adobe animate 2024,N0006,Adobe Animate 2024,1,true,singleton_noise_like,0.00,true
Adobe Audition 2024,C0083,Adobe Audition,false,exact_normalized,adobe audition,C0083,Adobe Audition,2,false,v1_exact_preserved,1.00,false,adobe audition,C0083,Adobe Audition,2,false,v2_preserved,1.00,false
Adobe Audition 2025,C0083,Adobe Audition,false,exact_normalized,adobe audition,C0083,Adobe Audition,2,false,v1_exact_preserved,1.00,false,adobe audition,C0083,Adobe Audition,2,false,v2_preserved,1.00,false
Adobe Bridge 2024,C0084,Adobe Bridge,false,exact_normalized,adobe bridge,C0084,Adobe Bridge,2,false,v1_exact_preserved,1.00,false,adobe bridge,C0084,Adobe Bridge,2,false,v2_preserved,1.00,false
Adobe Bridge 2025,C0084,Adobe Bridge,false,exact_normalized,adobe bridge,C0084,Adobe Bridge,2,false,v1_exact_preserved,1.00,false,adobe bridge,C0084,Adobe Bridge,2,false,v2_preserved,1.00,false
Adobe Character Animator 2024,C0085,Adobe Character Animator,false,exact_normalized,adobe character animator,C0085,Adobe Character Animator,2,false,v1_exact_preserved,1.00,false,adobe character animator,C0085,Adobe Character Animator,2,false,v2_preserved,1.00,false
Adobe Character Animator 2025,C0085,Adobe Character Animator,false,exact_normalized,adobe character animator,C0085,Adobe Character Animator,2,false,v1_exact_preserved,1.00,false,adobe character animator,C0085,Adobe Character Animator,2,false,v2_preserved,1.00,false
Adobe Creative Cloud,N0009,Adobe Creative Cloud,true,singleton_noise_like,adobe creative cloud,N0007,Adobe Creative Cloud,1,true,singleton_noise_like,0.00,true,adobe creative cloud,N0007,Adobe Creative Cloud,1,true,singleton_noise_like,0.00,true
Adobe Dimension,N0010,Adobe Dimension,true,singleton_noise_like,adobe dimension,N0008,Adobe Dimension,1,true,singleton_noise_like,0.00,true,adobe dimension,N0008,Adobe Dimension,1,true,singleton_noise_like,0.00,true
Adobe Dreamweaver 2021,N0011,Adobe Dreamweaver,true,singleton_noise_like,adobe dreamweaver 2021,N0009,Adobe Dreamweaver 2021,1,true,singleton_noise_like,0.00,true,adobe dreamweaver 2021,N0009,Adobe Dreamweaver 2021,1,true,singleton_noise_like,0.00,true
Adobe Flash Player 23 NPAPI,C0022,Adobe Flash Player Npapi,false,conservative_fuzzy_merge,adobe flash player npapi,C0022,Adobe Flash Player Npapi,10,false,v1_exact_preserved,1.00,false,adobe flash player npapi,C0022,Adobe Flash Player Npapi,10,false,v2_preserved,1.00,false
Adobe Flash Player 23 PPAPI,C0022,Adobe Flash Player Npapi,false,conservative_fuzzy_merge,adobe flash player ppapi,C0022,Adobe Flash Player Npapi,10,false,v1_exact_preserved,1.00,false,adobe flash player ppapi,C0022,Adobe Flash Player Npapi,10,false,v2_preserved,1.00,false
Adobe Flash Player 28 NPAPI,C0022,Adobe Flash Player Npapi,false,conservative_fuzzy_merge,adobe flash player npapi,C0022,Adobe Flash Player Npapi,10,false,v1_exact_preserved,1.00,false,adobe flash player npapi,C0022,Adobe Flash Player Npapi,10,false,v2_preserved,1.00,false
Adobe Flash Player 28 PPAPI,C0022,Adobe Flash Player Npapi,false,conservative_fuzzy_merge,adobe flash player ppapi,C0022,Adobe Flash Player Npapi,10,false,v1_exact_preserved,1.00,false,adobe flash player ppapi,C0022,Adobe Flash Player Npapi,10,false,v2_preserved,1.00,false
Adobe Flash Player 32 NPAPI,C0022,Adobe Flash Player Npapi,false,conservative_fuzzy_merge,adobe flash player npapi,C0022,Adobe Flash Player Npapi,10,false,v1_exact_preserved,1.00,false,adobe flash player npapi,C0022,Adobe Flash Player Npapi,10,false,v2_preserved,1.00,false
Adobe Flash Player 32 PPAPI,C0022,Adobe Flash Player Npapi,false,conservative_fuzzy_merge,adobe flash player ppapi,C0022,Adobe Flash Player Npapi,10,false,v1_exact_preserved,1.00,false,adobe flash player ppapi,C0022,Adobe Flash Player Npapi,10,false,v2_preserved,1.00,false
Adobe Flash Player 33 NPAPI,C0022,Adobe Flash Player Npapi,false,conservative_fuzzy_merge,adobe flash player npapi,C0022,Adobe Flash Player Npapi,10,false,v1_exact_preserved,1.00,false,adobe flash player npapi,C0022,Adobe Flash Player Npapi,10,false,v2_preserved,1.00,false
Adobe Flash Player 33 PPAPI,C0022,Adobe Flash Player Npapi,false,conservative_fuzzy_merge,adobe flash player ppapi,C0022,Adobe Flash Player Npapi,10,false,v1_exact_preserved,1.00,false,adobe flash player ppapi,C0022,Adobe Flash Player Npapi,10,false,v2_preserved,1.00,false
Adobe Flash Player 34 ActiveX,N0012,Adobe Flash Player Activex,true,singleton_noise_like,adobe flash player 34 activex,N0010,Adobe Flash Player 34 ActiveX,1,true,singleton_noise_like,0.00,true,adobe flash player 34 activex,N0010,Adobe Flash Player 34 ActiveX,1,true,singleton_noise_like,0.00,true
Adobe Flash Player 34 NPAPI,C0022,Adobe Flash Player Npapi,false,conservative_fuzzy_merge,adobe flash player npapi,C0022,Adobe Flash Player Npapi,10,false,v1_exact_preserved,1.00,false,adobe flash player npapi,C0022,Adobe Flash Player Npapi,10,false,v2_preserved,1.00,false
Adobe Flash Player 34 PPAPI,C0022,Adobe Flash Player Npapi,false,conservative_fuzzy_merge,adobe flash player ppapi,C0022,Adobe Flash Player Npapi,10,false,v1_exact_preserved,1.00,false,adobe flash player ppapi,C0022,Adobe Flash Player Npapi,10,false,v2_preserved,1.00,false
Adobe Genuine Service,N0013,Adobe Genuine Service,true,singleton_noise_like,adobe genuine service,N0011,Adobe Genuine Service,1,true,singleton_noise_like,0.00,true,adobe genuine service,N0011,Adobe Genuine Service,1,true,singleton_noise_like,0.00,true
Adobe Illustrator 2024,C0065,Adobe Illustrator,false,conservative_fuzzy_merge,adobe illustrator,C0065,Adobe Illustrator,3,false,v1_exact_preserved,1.00,false,adobe illustrator,C0065,Adobe Illustrator,3,false,v2_preserved,1.00,false
Adobe Illustrator 2025,C0065,Adobe Illustrator,false,conservative_fuzzy_merge,adobe illustrator,C0065,Adobe Illustrator,3,false,v1_exact_preserved,1.00,false,adobe illustrator,C0065,Adobe Illustrator,3,false,v2_preserved,1.00,false
Adobe Illustrator CC 2019,C0065,Adobe Illustrator,false,conservative_fuzzy_merge,adobe illustrator cc,C0065,Adobe Illustrator,3,false,v1_exact_preserved,1.00,false,adobe illustrator cc,C0065,Adobe Illustrator,3,false,v2_preserved,1.00,false
Adobe InCopy 2024,C0086,Adobe Incopy,false,exact_normalized,adobe incopy,C0086,Adobe Incopy,2,false,v1_exact_preserved,1.00,false,adobe incopy,C0086,Adobe Incopy,2,false,v2_preserved,1.00,false
Adobe InCopy 2025,C0086,Adobe Incopy,false,exact_normalized,adobe incopy,C0086,Adobe Incopy,2,false,v1_exact_preserved,1.00,false,adobe incopy,C0086,Adobe Incopy,2,false,v2_preserved,1.00,false
Adobe InDesign 2024,C0087,Adobe Indesign,false,exact_normalized,adobe indesign,C0087,Adobe Indesign,2,false,v1_exact_preserved,1.00,false,adobe indesign,C0087,Adobe Indesign,2,false,v2_preserved,1.00,false
Adobe InDesign 2025,C0087,Adobe Indesign,false,exact_normalized,adobe indesign,C0087,Adobe Indesign,2,false,v1_exact_preserved,1.00,false,adobe indesign,C0087,Adobe Indesign,2,false,v2_preserved,1.00,false
Adobe Lightroom Classic,N0014,Adobe Lightroom Classic,true,singleton_noise_like,adobe lightroom classic,N0012,Adobe Lightroom Classic,1,true,singleton_noise_like,0.00,true,adobe lightroom classic,N0012,Adobe Lightroom Classic,1,true,singleton_noise_like,0.00,true
Adobe Media Encoder 2024,C0088,Adobe Media Encoder,false,exact_normalized,adobe media encoder,C0088,Adobe Media Encoder,2,false,v1_exact_preserved,1.00,false,adobe media encoder,C0088,Adobe Media Encoder,2,false,v2_preserved,1.00,false
Adobe Media Encoder 2025,C0088,Adobe Media Encoder,false,exact_normalized,adobe media encoder,C0088,Adobe Media Encoder,2,false,v1_exact_preserved,1.00,false,adobe media encoder,C0088,Adobe Media Encoder,2,false,v2_preserved,1.00,false
Adobe Photoshop 2023,C0028,Adobe Photoshop,false,conservative_fuzzy_merge,adobe photoshop,C0028,Adobe Photoshop,8,false,v1_exact_preserved,1.00,false,adobe photoshop,C0028,Adobe Photoshop,8,false,v2_preserved,1.00,false
Adobe Photoshop 2024,C0028,Adobe Photoshop,false,conservative_fuzzy_merge,adobe photoshop,C0028,Adobe Photoshop,8,false,v1_exact_preserved,1.00,false,adobe photoshop,C0028,Adobe Photoshop,8,false,v2_preserved,1.00,false
Adobe Photoshop 2025,C0028,Adobe Photoshop,false,conservative_fuzzy_merge,adobe photoshop,C0028,Adobe Photoshop,8,false,v1_exact_preserved,1.00,false,adobe photoshop,C0028,Adobe Photoshop,8,false,v2_preserved,1.00,false
Adobe Photoshop CC 2017,C0028,Adobe Photoshop,false,conservative_fuzzy_merge,adobe photoshop cc,C0028,Adobe Photoshop,8,false,v1_exact_preserved,1.00,false,adobe photoshop cc,C0028,Adobe Photoshop,8,false,v2_preserved,1.00,false
Adobe Photoshop CC 2018,C0028,Adobe Photoshop,false,conservative_fuzzy_merge,adobe photoshop cc,C0028,Adobe Photoshop,8,false,v1_exact_preserved,1.00,false,adobe photoshop cc,C0028,Adobe Photoshop,8,false,v2_preserved,1.00,false
Adobe Photoshop CS,C0028,Adobe Photoshop,false,conservative_fuzzy_merge,adobe photoshop cs,C0028,Adobe Photoshop,8,false,v1_exact_preserved,1.00,false,adobe photoshop cs,C0028,Adobe Photoshop,8,false,v2_preserved,1.00,false
Adobe Photoshop CS2,C0028,Adobe Photoshop,false,conservative_fuzzy_merge,adobe photoshop cs2,C0028,Adobe Photoshop,8,false,v1_exact_preserved,1.00,false,adobe photoshop cs2,C0028,Adobe Photoshop,8,false,v2_preserved,1.00,false
Adobe Photoshop CS2 V8.0,C0028,Adobe Photoshop,false,conservative_fuzzy_merge,adobe photoshop cs2,C0028,Adobe Photoshop,8,false,v1_exact_preserved,1.00,false,adobe photoshop cs2,C0028,Adobe Photoshop,8,false,v2_preserved,1.00,false
Adobe Photoshop CS6 Lite version,N0015,Adobe Photoshop Cs6 Lite Version,true,singleton_noise_like,adobe photoshop cs6 lite version,N0013,Adobe Photoshop CS6 Lite version,1,true,singleton_noise_like,0.00,true,adobe photoshop cs6 lite version,N0013,Adobe Photoshop CS6 Lite version,1,true,singleton_noise_like,0.00,true
Adobe Premiere Pro 2024,C0066,Adobe Premiere Pro,false,conservative_fuzzy_merge,adobe premiere pro,C0066,Adobe Premiere Pro,3,false,v1_exact_preserved,1.00,false,adobe premiere pro,C0066,Adobe Premiere Pro,3,false,v2_preserved,1.00,false
Adobe Premiere Pro 2025,C0066,Adobe Premiere Pro,false,conservative_fuzzy_merge,adobe premiere pro,C0066,Adobe Premiere Pro,3,false,v1_exact_preserved,1.00,false,adobe premiere pro,C0066,Adobe Premiere Pro,3,false,v2_preserved,1.00,false
Adobe Premiere Pro CC 2017,C0066,Adobe Premiere Pro,false,conservative_fuzzy_merge,adobe premiere pro cc,C0066,Adobe Premiere Pro,3,false,v1_exact_preserved,1.00,false,adobe premiere pro cc,C0066,Adobe Premiere Pro,3,false,v2_preserved,1.00,false
Adobe Reader XI (11.0.20) - Chinese Simplified,C0067,Adobe Reader Xi,false,exact_normalized,adobe reader xi,C0067,Adobe Reader Xi,3,false,v1_exact_preserved,1.00,false,adobe reader xi,C0067,Adobe Reader Xi,3,false,v2_preserved,1.00,false
Adobe Reader XI (11.0.23) - Chinese Simplified,C0067,Adobe Reader Xi,false,exact_normalized,adobe reader xi,C0067,Adobe Reader Xi,3,false,v1_exact_preserved,1.00,false,adobe reader xi,C0067,Adobe Reader Xi,3,false,v2_preserved,1.00,false
Adobe Reader XI - Chinese Simplified,C0067,Adobe Reader Xi,false,exact_normalized,adobe reader xi,C0067,Adobe Reader Xi,3,false,v1_exact_preserved,1.00,false,adobe reader xi,C0067,Adobe Reader Xi,3,false,v2_preserved,1.00,false
Adobe SVG Viewer,N0016,Adobe Svg Viewer,true,singleton_noise_like,adobe svg viewer,N0014,Adobe SVG Viewer,1,true,singleton_noise_like,0.00,true,adobe svg viewer,N0014,Adobe SVG Viewer,1,true,singleton_noise_like,0.00,true
Adobe UXP Developer Tools,N0017,Adobe Uxp Developer Tools,true,singleton_noise_like,adobe uxp developer tools,N0015,Adobe UXP Developer Tools,1,true,singleton_noise_like,0.00,true,adobe uxp developer tools,N0015,Adobe UXP Developer Tools,1,true,singleton_noise_like,0.00,true
Adobe助手,N0018,adobe助手,true,singleton_noise_like,adobe助手,N0016,Adobe助手,1,true,singleton_noise_like,0.00,true,adobe助手,N0016,Adobe助手,1,true,singleton_noise_like,0.00,true
Advanced IP Scanner 2.5.1,N0019,Advanced Ip Scanner,true,singleton_noise_like,advanced ip scanner,N0017,Advanced IP Scanner 2.5.1,1,true,singleton_noise_like,0.00,true,advanced ip scanner,N0017,Advanced IP Scanner 2.5.1,1,true,singleton_noise_like,0.00,true
Advanced Office Password Recovery,N0020,Advanced Office Password Recovery,true,singleton_noise_like,advanced office password recovery,N0018,Advanced Office Password Recovery,1,true,singleton_noise_like,0.00,true,advanced office password recovery,N0018,Advanced Office Password Recovery,1,true,singleton_noise_like,0.00,true
Advik Windows Live Mail Converter,N0021,Advik Windows Live Mail Converter,true,singleton_noise_like,advik windows live mail converter,N0019,Advik Windows Live Mail Converter,1,true,singleton_noise_like,0.00,true,advik windows live mail converter,N0019,Advik Windows Live Mail Converter,1,true,singleton_noise_like,0.00,true
AE插件合集一键安装版,N0022,ae插件合集一键安装版,true,singleton_noise_like,ae插件合集一键安装版,N0020,AE插件合集一键安装版,1,true,singleton_noise_like,0.00,true,ae插件合集一键安装版,C0287,Graphics / Media Tools,11,false,human_review_cn_category,0.68,true
Agent 2.0.11 x64,C0089,Agent,false,exact_normalized,agent,C0089,Agent,2,false,v1_exact_preserved,1.00,false,agent,C0089,Agent,2,false,v2_preserved,1.00,false
Agent 2.0.11 x86,C0089,Agent,false,exact_normalized,agent,C0089,Agent,2,false,v1_exact_preserved,1.00,false,agent,C0089,Agent,2,false,v2_preserved,1.00,false
Agms60,N0023,Agms60,true,singleton_noise_like,agms60,N0021,Agms60,1,true,singleton_noise_like,0.00,true,agms60,N0020,Agms60,1,true,singleton_noise_like,0.00,true
Agricultural Bank of China Security Suite v2.3.8.0,N0024,Agricultural Bank Of China Security Suite,true,singleton_noise_like,agricultural bank of china security suite,N0022,Agricultural Bank of China Security Suite v2.3.8.0,1,true,singleton_noise_like,0.00,true,agricultural bank of china security suite,N0021,Agricultural Bank of China Security Suite v2.3.8.0,1,true,singleton_noise_like,0.00,true
ahsProtector,N0025,Ahsprotector,true,singleton_noise_like,ahsprotector,N0023,ahsProtector,1,true,singleton_noise_like,0.00,true,ahsprotector,N0022,ahsProtector,1,true,singleton_noise_like,0.00,true
AIDA64 Extreme,N0026,Aida64 Extreme,true,singleton_noise_like,aida64 extreme,N0024,AIDA64 Extreme,1,true,singleton_noise_like,0.00,true,aida64 extreme,N0023,AIDA64 Extreme,1,true,singleton_noise_like,0.00,true
AIP电子签章系统 V3.1.1.4,C0090,aip电子签章系统,false,conservative_fuzzy_merge,aip电子签章系统,C0090,aip电子签章系统,2,false,v1_exact_preserved,1.00,false,aip电子签章系统,C0090,aip电子签章系统,2,false,v2_preserved,1.00,false
AISHU AnyShare 7,N0027,Aishu Anyshare,true,singleton_noise_like,aishu anyshare 7,N0025,AISHU AnyShare 7,1,true,singleton_noise_like,0.00,true,aishu anyshare 7,N0024,AISHU AnyShare 7,1,true,singleton_noise_like,0.00,true
Alienware CC Components for AWCC (1.1.25.0),N0028,Alienware Cc Components For Awcc,true,singleton_noise_like,alienware cc components for awcc,C0217,Alienware Command Center,3,false,family_pattern,0.85,true,alienware cc components for awcc,C0217,Alienware Command Center,3,false,v2_preserved,0.85,true
Alienware Command Center Package Manager,N0029,Alienware Command Center Package Manager,true,singleton_noise_like,alienware command center package manager,C0217,Alienware Command Center,3,false,family_pattern,0.85,true,alienware command center package manager,C0217,Alienware Command Center,3,false,v2_preserved,0.85,true
Alienware Command Center Suite,N0030,Alienware Command Center Suite,true,singleton_noise_like,alienware command center suite,C0217,Alienware Command Center,3,false,family_pattern,0.85,true,alienware command center suite,C0217,Alienware Command Center,3,false,v2_preserved,0.85,true
Alienware Digital Delivery Services,N0031,Alienware Digital Delivery Services,true,singleton_noise_like,alienware digital delivery services,N0026,Alienware Digital Delivery Services,1,true,singleton_noise_like,0.00,true,alienware digital delivery services,N0025,Alienware Digital Delivery Services,1,true,singleton_noise_like,0.00,true
Alienware SupportAssist OS Recovery Plugin for Alienware Update,N0032,Alienware Supportassist Os Recovery Plugin For Alienware Update,true,singleton_noise_like,alienware supportassist os recovery plugin for alienware update,N0027,Alienware SupportAssist OS Recovery Plugin for Alienware Update,1,true,singleton_noise_like,0.00,true,alienware supportassist os recovery plugin for alienware update,N0026,Alienware SupportAssist OS Recovery Plugin for Alienware Update,1,true,singleton_noise_like,0.00,true
Alienware Update for Windows Universal,N0033,Alienware Update For Windows Universal,true,singleton_noise_like,alienware update universal,N0028,Alienware Update for Windows Universal,1,true,singleton_noise_like,0.00,true,alienware update universal,N0027,Alienware Update for Windows Universal,1,true,singleton_noise_like,0.00,true
Amazon Kindle,N0034,Amazon Kindle,true,singleton_noise_like,amazon kindle,N0029,Amazon Kindle,1,true,singleton_noise_like,0.00,true,amazon kindle,N0028,Amazon Kindle,1,true,singleton_noise_like,0.00,true
AMD Catalyst Control Center,N0035,Amd Catalyst Control Center,true,singleton_noise_like,amd catalyst control center,C0234,AMD Catalyst,2,false,family_pattern,0.85,true,amd catalyst control center,C0234,AMD Catalyst,2,false,v2_preserved,0.85,true
